drug_name,chembl_target,action
Imatinib,CHEMBL2326,Carbonic anhydrase VII inhibitor
Imatinib,CHEMBL261,Carbonic anhydrase I inhibitor
Imatinib,CHEMBL261,Carbonic anhydrase I inhibitor
Imatinib,CHEMBL261,Carbonic anhydrase I inhibitor
Imatinib,CHEMBL261,Carbonic anhydrase I inhibitor
Imatinib,CHEMBL261,Carbonic anhydrase I inhibitor
Imatinib,CHEMBL1777,Cytochrome b inhibitor
Imatinib,CHEMBL245,Muscarinic acetylcholine receptor M3 antagonist
Imatinib,CHEMBL245,Muscarinic acetylcholine receptor M3 antagonist
Imatinib,CHEMBL245,Muscarinic acetylcholine receptor M3 antagonist
Imatinib,CHEMBL245,Muscarinic acetylcholine receptor M3 antagonist
Imatinib,CHEMBL245,Muscarinic acetylcholine receptor M3 antagonist
Imatinib,CHEMBL245,Muscarinic acetylcholine receptor M3 antagonist
Imatinib,CHEMBL245,Muscarinic acetylcholine receptor M3 antagonist
Imatinib,CHEMBL245,Muscarinic acetylcholine receptor M3 antagonist
Imatinib,CHEMBL245,Muscarinic acetylcholine receptor M3 agonist
Imatinib,CHEMBL245,Muscarinic acetylcholine receptor M3 antagonist
Imatinib,CHEMBL245,Muscarinic acetylcholine receptor M3 antagonist
Imatinib,CHEMBL245,Muscarinic acetylcholine receptor M3 antagonist
Imatinib,CHEMBL245,Muscarinic acetylcholine receptor M3 antagonist
Nilotinib,CHEMBL2326,Carbonic anhydrase VII inhibitor
Nilotinib,CHEMBL261,Carbonic anhydrase I inhibitor
Nilotinib,CHEMBL261,Carbonic anhydrase I inhibitor
Nilotinib,CHEMBL261,Carbonic anhydrase I inhibitor
Nilotinib,CHEMBL261,Carbonic anhydrase I inhibitor
Nilotinib,CHEMBL261,Carbonic anhydrase I inhibitor
Nilotinib,CHEMBL1777,Cytochrome b inhibitor
Nilotinib,CHEMBL245,Muscarinic acetylcholine receptor M3 antagonist
Nilotinib,CHEMBL245,Muscarinic acetylcholine receptor M3 antagonist
Nilotinib,CHEMBL245,Muscarinic acetylcholine receptor M3 antagonist
Nilotinib,CHEMBL245,Muscarinic acetylcholine receptor M3 antagonist
Nilotinib,CHEMBL245,Muscarinic acetylcholine receptor M3 antagonist
Nilotinib,CHEMBL245,Muscarinic acetylcholine receptor M3 antagonist
Nilotinib,CHEMBL245,Muscarinic acetylcholine receptor M3 antagonist
Nilotinib,CHEMBL245,Muscarinic acetylcholine receptor M3 antagonist
Nilotinib,CHEMBL245,Muscarinic acetylcholine receptor M3 agonist
Nilotinib,CHEMBL245,Muscarinic acetylcholine receptor M3 antagonist
Nilotinib,CHEMBL245,Muscarinic acetylcholine receptor M3 antagonist
Nilotinib,CHEMBL245,Muscarinic acetylcholine receptor M3 antagonist
Nilotinib,CHEMBL245,Muscarinic acetylcholine receptor M3 antagonist
Dasatinib,CHEMBL2326,Carbonic anhydrase VII inhibitor
Dasatinib,CHEMBL261,Carbonic anhydrase I inhibitor
Dasatinib,CHEMBL261,Carbonic anhydrase I inhibitor
Dasatinib,CHEMBL261,Carbonic anhydrase I inhibitor
Dasatinib,CHEMBL261,Carbonic anhydrase I inhibitor
Dasatinib,CHEMBL261,Carbonic anhydrase I inhibitor
Dasatinib,CHEMBL1777,Cytochrome b inhibitor
Dasatinib,CHEMBL245,Muscarinic acetylcholine receptor M3 antagonist
Dasatinib,CHEMBL245,Muscarinic acetylcholine receptor M3 antagonist
Dasatinib,CHEMBL245,Muscarinic acetylcholine receptor M3 antagonist
Dasatinib,CHEMBL245,Muscarinic acetylcholine receptor M3 antagonist
Dasatinib,CHEMBL245,Muscarinic acetylcholine receptor M3 antagonist
Dasatinib,CHEMBL245,Muscarinic acetylcholine receptor M3 antagonist
Dasatinib,CHEMBL245,Muscarinic acetylcholine receptor M3 antagonist
Dasatinib,CHEMBL245,Muscarinic acetylcholine receptor M3 antagonist
Dasatinib,CHEMBL245,Muscarinic acetylcholine receptor M3 agonist
Dasatinib,CHEMBL245,Muscarinic acetylcholine receptor M3 antagonist
Dasatinib,CHEMBL245,Muscarinic acetylcholine receptor M3 antagonist
Dasatinib,CHEMBL245,Muscarinic acetylcholine receptor M3 antagonist
